grid_size,grid_res,years,mu,p_spread,rho,n_repeats,initial_flammable_fraction,initial_num_flammable_clusters,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
100,500,1,0.002,0.6,0.3,3,0.3015,1259,0.0013,5,75.0,100.0,33.91164991562634
100,500,1,0.002,0.6,0.3,3,0.304,1253,0.0012,5,75.0,100.0,30.0
100,500,1,0.002,0.6,0.3,3,0.307,1253,0.0011,5,25.0,125.0,40.0
100,500,1,0.002,0.7,0.3,3,0.3,1330,0.0009,5,25.0,75.0,24.49489742783178
100,500,1,0.002,0.7,0.3,3,0.2935,1307,0.001,5,25.0,100.0,31.622776601683793
100,500,1,0.002,0.7,0.3,3,0.2979,1285,0.002,5,75.0,200.0,65.19202405202648
100,500,1,0.002,0.8,0.3,3,0.2991,1302,0.0011,5,75.0,75.0,24.49489742783178
100,500,1,0.002,0.8,0.3,3,0.3054,1308,0.0022,5,75.0,300.0,101.9803902718557
100,500,1,0.002,0.8,0.3,3,0.296,1280,0.001,5,50.0,100.0,27.386127875258307
100,500,1,0.002,0.9,0.3,3,0.2943,1356,0.0017,5,125.0,125.0,48.98979485566356
100,500,1,0.002,0.9,0.3,3,0.2973,1319,0.0017,5,75.0,125.0,33.91164991562634
100,500,1,0.002,0.9,0.3,3,0.2959,1362,0.0022,5,25.0,375.0,135.64659966250537
100,500,1,0.002,1,0.3,3,0.3008,1356,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,1,0.3,3,0.2979,1305,0.0022,5,100.0,225.0,80.0
100,500,1,0.002,1,0.3,3,0.3002,1304,0.0041,5,75.0,800.0,298.91470355270246
100,500,1,0.04,0.3,0.3,3,0.3056,1298,0.0133,98,25.0,100.0,16.46347224516587
100,500,1,0.04,0.3,0.3,3,0.3064,1312,0.0143,95,25.0,125.0,20.479027850888123
100,500,1,0.04,0.3,0.3,3,0.3048,1257,0.0163,94,25.0,125.0,23.68216289306781
100,500,1,0.04,0.4,0.3,3,0.2963,1348,0.0166,99,25.0,200.0,34.05066835626904
100,500,1,0.04,0.4,0.3,3,0.2986,1247,0.0166,99,25.0,150.0,25.082762710785893
100,500,1,0.04,0.4,0.3,3,0.3001,1335,0.0166,97,25.0,125.0,27.092520672201854
100,500,1,0.04,0.5,0.3,3,0.2935,1288,0.0186,95,25.0,200.0,34.011567202954765
100,500,1,0.04,0.5,0.3,3,0.302,1324,0.0194,98,37.5,200.0,34.988990950203934
100,500,1,0.04,0.5,0.3,3,0.298,1337,0.0194,96,50.0,225.0,35.16685796748916
100,500,1,0.04,0.6,0.3,3,0.2974,1309,0.0217,99,50.0,200.0,37.7185161500986
100,500,1,0.04,0.6,0.3,3,0.2986,1344,0.0216,98,25.0,250.0,47.10485260238281
100,500,1,0.04,0.6,0.3,3,0.2943,1310,0.0259,97,50.0,225.0,51.7380457686156
100,500,1,0.04,0.7,0.3,3,0.2963,1259,0.0242,99,50.0,225.0,42.52483264746289
100,500,1,0.04,0.7,0.3,3,0.3075,1298,0.0304,98,50.0,325.0,67.62080987041043
100,500,1,0.04,0.7,0.3,3,0.2884,1297,0.024,96,50.0,325.0,47.598581911649426
100,500,1,0.04,0.8,0.3,3,0.3048,1307,0.0307,100,50.0,400.0,69.21479249409045
100,500,1,0.04,0.8,0.3,3,0.2984,1284,0.0298,98,50.0,325.0,65.84598287714971
100,500,1,0.04,0.8,0.3,3,0.2939,1352,0.0291,98,50.0,400.0,68.36782287376224
100,500,1,0.04,0.9,0.3,3,0.2964,1341,0.0379,99,75.0,450.0,84.68900355856405
100,500,1,0.04,0.9,0.3,3,0.2967,1321,0.036,100,75.0,400.0,71.76350047203663
100,500,1,0.04,0.9,0.3,3,0.3103,1335,0.0366,100,50.0,575.0,90.43091285616883
100,500,1,0.04,1,0.3,3,0.2998,1274,0.0468,100,75.0,700.0,115.4816002660164
100,500,1,0.04,1,0.3,3,0.2991,1317,0.0483,100,100.0,600.0,110.11669946016363
100,500,1,0.04,1,0.3,3,0.301,1352,0.0404,100,75.0,375.0,83.88384826651672
100,500,1,0.0004,0.3,0.4,3,0.3985,1089,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.3,0.4,3,0.4029,1050,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.3,0.4,3,0.3985,1080,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.4,3,0.4026,1085,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.4,3,0.3942,1206,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.4,0.4,3,0.4039,1054,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.4,3,0.3985,1120,0.0005,1,125.0,125.0,0.0
100,500,1,0.0004,0.5,0.4,3,0.3969,1100,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.4,3,0.3966,1086,0.0004,1,100.0,100.0,0.0
100,500,1,0.0004,0.6,0.4,3,0.3917,1091,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.6,0.4,3,0.3996,1057,0.0008,1,200.0,200.0,0.0
100,500,1,0.0004,0.6,0.4,3,0.4045,1087,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.7,0.4,3,0.4094,1055,0.0006,1,150.0,150.0,0.0
100,500,1,0.0004,0.7,0.4,3,0.4102,1088,0.0009,1,225.0,225.0,0.0
100,500,1,0.0004,0.7,0.4,3,0.3951,1067,0.0006,1,150.0,150.0,0.0
100,500,1,0.0004,0.8,0.4,3,0.4002,1098,0.0022,1,550.0,550.0,0.0
100,500,1,0.0004,0.8,0.4,3,0.4092,1028,0.0004,1,100.0,100.0,0.0
100,500,1,0.0004,0.8,0.4,3,0.3965,1150,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.9,0.4,3,0.3983,1106,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.9,0.4,3,0.4061,1088,0.0005,1,125.0,125.0,0.0
100,500,1,0.0004,0.9,0.4,3,0.4023,1102,0.0007,1,175.0,175.0,0.0
100,500,1,0.0004,1,0.4,3,0.3986,1111,0.0014,1,350.0,350.0,0.0
100,500,1,0.0004,1,0.4,3,0.4038,1095,0.0094,1,2350.0,2350.0,0.0
100,500,1,0.0004,1,0.4,3,0.4073,1078,0.0004,1,100.0,100.0,0.0
100,500,1,0.002,0.3,0.4,3,0.4009,1061,0.0009,5,25.0,125.0,40.0
100,500,1,0.002,0.3,0.4,3,0.3999,1092,0.0009,5,25.0,75.0,24.49489742783178
100,500,1,0.002,0.3,0.4,3,0.4074,1029,0.0008,5,50.0,50.0,12.24744871391589
100,500,1,0.002,0.4,0.4,3,0.3965,1074,0.0009,5,50.0,75.0,18.708286933869708
100,500,1,0.002,0.4,0.4,3,0.3937,1077,0.0011,5,50.0,100.0,29.154759474226502
100,500,1,0.002,0.4,0.4,3,0.3999,1101,0.0007,5,25.0,75.0,20.0
100,500,1,0.002,0.5,0.4,3,0.3994,1096,0.0015,5,50.0,150.0,52.44044240850758
100,500,1,0.002,0.5,0.4,3,0.4093,1142,0.0019,5,75.0,200.0,62.048368229954285
100,500,1,0.002,0.5,0.4,3,0.392,1149,0.0011,5,50.0,125.0,36.742346141747674
100,500,1,0.002,0.6,0.4,3,0.397,1102,0.0011,5,50.0,100.0,29.154759474226502
100,500,1,0.002,0.6,0.4,3,0.4021,1085,0.0017,5,100.0,125.0,40.620192023179804
100,500,1,0.002,0.6,0.4,3,0.3954,1101,0.0013,5,75.0,125.0,37.416573867739416
100,500,1,0.002,0.7,0.4,3,0.3976,1166,0.0033,5,125.0,375.0,112.47221879201993
100,500,1,0.002,0.7,0.4,3,0.3934,1135,0.0046,5,175.0,600.0,193.90719429665316
100,500,1,0.002,0.7,0.4,3,0.4046,1050,0.001,5,50.0,100.0,27.386127875258307
100,500,1,0.002,0.8,0.4,3,0.3993,1109,0.0039,5,125.0,375.0,139.10427743243557
100,500,1,0.002,0.8,0.4,3,0.3974,1098,0.0059,5,150.0,825.0,283.9013913315678
100,500,1,0.002,0.8,0.4,3,0.3964,1084,0.003,5,100.0,450.0,157.32132722552274
100,500,1,0.002,0.9,0.4,3,0.3989,1132,0.0022,5,125.0,175.0,53.85164807134504
100,500,1,0.002,0.9,0.4,3,0.405,1051,0.0046,5,225.0,400.0,143.52700094407325
100,500,1,0.002,0.9,0.4,3,0.4046,1062,0.0034,5,150.0,450.0,146.9693845669907
100,500,1,0.002,1,0.4,3,0.4032,1056,0.007,5,275.0,675.0,235.58437978779492
100,500,1,0.002,1,0.4,3,0.4002,1047,0.0046,5,225.0,325.0,92.73618495495704
100,500,1,0.002,1,0.4,3,0.3946,1131,0.003,5,125.0,350.0,108.39741694339399
100,500,1,0.04,0.3,0.4,3,0.4033,1079,0.0167,96,25.0,250.0,36.66515000414411
100,500,1,0.04,0.3,0.4,3,0.4035,1105,0.0165,95,25.0,200.0,28.37959939903771
100,500,1,0.04,0.3,0.4,3,0.3982,1061,0.0174,97,25.0,150.0,29.14992889814163
100,500,1,0.04,0.4,0.4,3,0.4018,1089,0.0211,99,25.0,300.0,44.47313123788144
100,500,1,0.04,0.4,0.4,3,0.4009,1088,0.0226,97,50.0,300.0,50.60480212896858
100,500,1,0.04,0.4,0.4,3,0.3908,1151,0.0193,98,25.0,225.0,36.67529920593784
100,500,1,0.04,0.5,0.4,3,0.3882,1110,0.0254,98,50.0,200.0,47.62694298006108
100,500,1,0.04,0.5,0.4,3,0.3974,1134,0.0229,96,50.0,275.0,51.33247830558209
100,500,1,0.04,0.5,0.4,3,0.3975,1083,0.028,94,50.0,300.0,63.369349952121645
100,500,1,0.04,0.6,0.4,3,0.4074,1057,0.0314,97,50.0,425.0,78.9568912034211
100,500,1,0.04,0.6,0.4,3,0.4036,1041,0.0353,96,75.0,400.0,75.21625001615712
100,500,1,0.04,0.6,0.4,3,0.4024,1108,0.0331,97,75.0,300.0,64.49172580585332
